name,lat,lon,population,alternate_names
Wilhelmsburg,53.49624,10.01712,53064,"Hamburg-Wilhelmsburg,Vilkhelmsburg,Wilhelmsburg,Willemsborg,Вилхелмсбург"
Waiblingen,48.83241,9.31641,52945,"Vajblingen,Vayblingen,Waiblinga,fayblynghn,wayblyngn,wei bu lin gen,Вайблинген,Вайблінген,Вајблинген,فايبلينغن,وایبلینگن,魏布林根"
Nordhorn,52.43081,7.06833,52803,"Nordhorn,Nordkhorn,Nothoorn,nuo de huo en,nwrdhwrn,Нордхорн,نوردهورن,諾德霍恩"
Mariendorf,52.4378,13.38109,52734,"Berlin-Mariendorf,Mariendorf,Мариендорф"
Universitäts- und Hansestadt Greifswald,54.08905,13.40244,52731,"Grajfsval'd,Grajfsvald,Greifsvaldas,Greifsvalde,Greifswald,Greifswald / Vorpommern,Griefswald,Griepswohld,Gripiew Las,Universitats- und Hansestadt Greifswald,Universitäts- und Hansestadt Greifswald,ZGW,ge lai fu si wa er de,geulaipeuseubalteu,ghrayfsfalt,graipsvaldi,grayfswald,guraifusuvuaruto,Грайфсвалд,Грайфсвальд,Грајфсвалд,גרייפסוואלד,غرايفسفالت,گرایفسوالد,گریفزوالڈ,გრაიფსვალდი,グライフスヴァルト,格赖夫斯瓦尔德,그라이프스발트"
Cuxhaven,53.86828,8.69902,52677,"Cux,Cuxhaven,Cuxhoben,Cuxhuuwen,FCN,Kuksgafen,Kukskhafen,Kukskhaven,ku ke si gang,kugseuhapen,kukkusuhafen,kwkshafn,kwkshawn,Куксгафен,Куксхавен,Куксхафен,Կուքսհաֆեն,كوكسهافن,کوکسهاون,ککسہیون,クックスハーフェン,库克斯港,쿡스하펜"
Wetzlar,50.56109,8.50495,52656,"Betslar,Veclar,Veclara,Veclaras,Veclaro,Veclāra,Vetclar,Vetzlar,Weslar,Weslår,Wetzlar,Wetzlaria,ZQQ,becheulla-eo,ftslar,vetslari,vuettsura,wei ci la er,weth s lar,wtslar,wzlr,Βέτσλαρ,Ветцлар,Вецлар,וצלר,فتسلار,وتسلار,เวทซลาร์,ვეცლარი,ヴェッツラー,韦茨拉尔,베츨라어"
Menden,51.44337,7.77825,52452,"Menden,Mennen,men deng,mndn,Менден,مندن,门登"
Bergkamen,51.61633,7.64451,52329,"Bergkamen,Berkamen,Biaergkoamen,Biärgkoamen,ZCH,bei ge ka men,brghkamn,brgkamn,Бергкамен,Беркамен,برغكامن,برگکامن,贝格卡门"
Lichtenrade,52.39844,13.40637,52110,"Berlin-Lichtenrade,Likhtenrade,Лихтенраде"
Bad Homburg vor der Höhe,50.22683,8.61816,51859,"Bad Homburg,Bad Homburg v.d. Hoehe,Bad Homburg v.d. Höhe,Bad Homburg vor der Hoehe,Bad Homburg vor der Höhe,Bad Khomburg,Bad-Gomburg,Bad-Khomburg,Bant Chompournk,Homburg vor der Hohe,Homburg vor der Höhe,ba te hong bao,bad h xm bur kf xrde xr hex xex,bad hwmbwrg fwr dr hwhh,bateuhombuleukeupo-eodeeohoee,Μπαντ Χόμπουργκ,Бад Хомбург,Бад-Гомбург,Бад-Хомбург,באד הומבורג,باد هومبورگ فور در هوهه,บัดฮอมบูร์กฟอร์เดอร์เฮอเออ,巴特洪堡,바트홈부르크포어데어회에"
Willich,51.26371,6.54734,51843,"Vilikh,Villikh,Villix,Willich,fylysh,wei li xi,wylysh,Вилих,Виллих,Вілліх,فيليش,ویلیش,維利希"
Emden,53.36592,7.20846,51526,"EME,Ehmdehn,Ehmden,Emda,Emden,Oamde,ai mu deng,amdn,emden,emtan,emuden,Емден,Эмден,Эмдэн,אמדן,إمدن,امدن,எம்டன்,エムデン,埃姆登,엠덴"
Neu-Ulm,48.39279,10.01112,51389,"Nei-Ulm,Neu Ulm,Neu-Ulm,Noea Ulma,Noj-Ul'm,Noj-Ulm,Nova Ulma,Noy Owlm,Nuevo Ulm,Nuova Ulma,Nöa Ulma,Subdistrikto Neu-Ulm,ZOT,noiulleum,noiurumu,nwy-awlm,xin wu er mu,Ной-Ульм,Ној-Улм,Նոյ Ուլմ,נוי-אולם,نوي-أولم,نوی-اولم,ノイウルム,新乌尔姆,노이울름"
Lingen,52.52143,7.31845,51310,"Lingen,lin gen,lynghn,lyngn,ringen,Линген,Лінген,لينغن,لینگن,リンゲン,林根"
Erftstadt,50.81481,6.79387,51207,"Ehrftshtadt,Erftshtadt,Erftshtat,Erftstadt,ai er fu te shi ta te,arftshtat,Ерфтштадт,Ерфтштат,Эрфтштадт,إرفتشتات,ارفت‌اشتات,埃尔夫特施塔特"
Neubrück,51.13434,6.63857,51109,
Ibbenbueren,52.27964,7.71457,50577,"Ibbenbjuren,Ibbenbueren,Ibbenbüren,Ibenbiren,aybnbwrn,aynnbwrnn,yi ben bi lun,Іббенбюрен,Иббенбюрен,Ибенбирен,إيبنبورن,ایننبورنن,伊本比伦"
Passau,48.5665,13.43122,50560,"Bassa,Batavia Bavariae,Båssa,Pasau,Pasavia,Pasawa,Pasov,Passaou,Passau,Passavia,ZPF,pa shao,pasau,pasaw,passau,phas sea,psaw,Πάσσαου,Пасау,Пассау,پاساو,پساؤ,พาสเซา,パッサウ,帕绍,파사우"
Langenhagen,52.44758,9.73741,50439,"Langenhagen,Langenhageno,Langenhogen,Langenkhagen,Nienhagen [a. 1312],lang gen ha gen,langhnhaghn,langnhagn,Лангенхаген,لانغنهاغن,لانگنهاگن,朗根哈根"
Schwerte,51.44387,7.5675,50399,"Schweierte,Schwerte,Shverte,Sverte,ZPX,shfyrth,shi wei te,shwrth,Švertė,Шверте,شفيرته,شورته,施韦特"
Speyer,49.32083,8.43111,50343,"Espira,Noviomagus,Schbaya,Shpaer,Shpajer,Shpejer,Spaier,Speyer,Spira,Spire,Spires,Spyr,ZQC,ashpyr,ch pi xexr,shi pai er,shupaia,spyyr,syupaieo,Špýr,Σπάιερ,Шпаер,Шпайер,Шпаєр,Шпајер,Шпейер,שפייר,اشپیر,ชไปเออร์,ስፓየር,シュパイアー,施派尔,슈파이어"
Alt-Hohenschönhausen,52.54608,13.5013,50070,"Berlin-Alt-Hohenschoenhausen,Berlin-Alt-Hohenschönhausen,Wilhelmsberg,alt-shwhynzn,الت-شوهینزن"
Heidenheim an der Brenz,48.67798,10.15162,50067,"Chainten'chaim,Gajdengajm-na-Brenci,Haidenhaim Brencal,Heidenheim,Heidenheim an der Brenz,Heidenheim in Wurttemberg,Heidenheim in Württemberg,Hoana,Khajdenkhajm an der Brenc,Khajdenkhajm na Brencu,Khajdenkhajm-an-der-Brenc,Khajdenkhajm-na-Brence,hai deng hai mu,haydnhaym,haydnhaym an dr brnts,Χάιντενχαϊμ,Гайденгайм-на-Бренці,Хайденхайм ан дер Бренц,Хайденхайм-ан-дер-Бренц,Хайденхайм-на-Бренце,Хајденхајм на Бренцу,هايدنهايم,هایدنهایم آن در برنتس,海登海姆"
Treptow,52.49376,13.44469,50000,Treptow
Peine,52.31928,10.2352,49953,"Paane,Pajne,Peine,ZPG,baynh,pai nei,paynh,Пайне,Пајне,باينه,پاینه,派内"
Neunkirchen,49.34449,7.18045,49843,"Neunkirchen,Noinkirchenas,Nojnkirkhen,noinkiruhyen,nuo yin ji xing,nwykyrshn,nwynqyrkn,nxyn kheiyr chein,Нойнкирхен,Нойнкірхен,Нојнкирхен,נוינקירכן,نویکیرشن,นอยน์เคียร์เชิน,ノインキルヒェン,諾因基興"
Bad Oeynhausen,52.20699,8.80365,49513,"Bad Oajnkhauzen,Bad Oeyhausen,Bad Oeynhausen,Bad-Ehjnkhauzen,Bad-Ejngauzen,ba te en hao sen,bad awynhawzn,bateuoeinhaujen,Бад Оајнхаузен,Бад-Ейнгаузен,Бад-Эйнхаузен,باد أوينهاوزن,باد اوین‌هاوزن,バート・エーンハウゼン,巴特恩豪森,바트외인하우젠"
Hof,50.31297,11.91261,49239,"Curia Variscorum,Dworc,Dwórc,Gof,HOQ,Hof,Hof an der Saale,Hofas,Khof,hofu,hopeu,huo fu,hwf,hwf  alman,Гоф,Хоф,Հոֆ,هوف,هوف، آلمان,ホーフ,霍夫,호프"
Kleve,51.78826,6.13865,49072,"Cleeve,Cleve,Cleveris,Cleves,Clèves,Cléveris,Kleef,Kleve,Klevo,keullebe,kurefe,Клеве,クレーフェ,클레베"
Ravensburg,47.78198,9.61062,48825,"QRB,Ravensbourg,Ravensburg,Ravensburgas,Ravenzburg,la fen si bao,labenseubuleukeu,rafnsbwrgh,rafnzbwrg,Равензбург,Равенсбург,رافنزبورگ,رافنسبورغ,拉芬斯堡,라벤스부르크"
Frechen,50.91485,6.8118,48733,"Frechem,Frechen,Frekhen,frshn,fryshn,fu lei xing,Фрехен,فرشن,فريشن,弗雷兴"
Elmshorn,53.74912,9.66176,48703,"Ehl'mskhorn,Elmshorn,Elmshornas,Elmskhorn,ai er mu si huo en,almshwrn,almzhwrn,Елмсхорн,Эльмсхорн,אלמסהורן,إلمسهورن,المزهورن,埃尔姆斯霍恩"
Bornheim,50.76313,6.99089,48523,"Borngajm,Bornheim,Bornkhajm,brnhaym,bwrnhaym,Борнгайм,Борнхайм,Борнхајм,برنهایم,بورنهايم"
Soest,51.57558,8.10619,48037,"Saust,Soest,Zest,Zoest,Zost,suo si te,zosuto,zwyst  alman,Зест,Зоест,Зост,زوئست، آلمان,ゾースト,索斯特"
Singen,47.75935,8.8403,48033,"Singen,Zingen,singena,xin gen,zynghn,zyngn,Зинген,Зінген,زينغن,زینگن,सिंगेन,辛根"
Hennef (Sieg),50.77555,7.28308,48002,"Gennef,Hennef,Khenef,Khennef,heng nei fu,hnf,hynnf,Геннеф,Хенеф,Хеннеф,هنف,هيننف,亨内夫"
Rastatt,48.85851,8.20965,47906,"Rashhat,Rashtat,Rashtatt,Rastatt,ZRW,la shi ta te,lasyutateu,rashtat,rashtatt,rashutatto,rastat,Раштат,Раштатт,Ращат,راستات,راشتات,რაშტატი,ラシュタット,拉施塔特,라슈타트"
Erkrath,51.22235,6.90831,47815,"Ehrkrat,Erkrat,Erkrath,ai er ke la te,arkrat,Еркрат,Эркрат,إركرات,ارکرات,埃尔克拉特"
Weißensee,52.55632,13.46649,47693,"Vajsenze,Weissensee,wyysnzh,Вайсензе,וייסנזה"
Lahr,48.34042,7.86886,47551,"LHA,Lahr,Lahr/Schwarzwald,Lar,la er,lar,lar  badn-wwrtmbrg,Лар,لار,لار، بادن-وورتمبرگ,拉尔"
Stuttgart-Ost,48.78363,9.21032,47500,"S-Ost,Stgt-Ost"
Dülmen,51.83149,7.28075,47495,"Dilmen,Djul'men,Duelmen,Dulmen,Dulmenni,Dulmėnni,Dyulmen,Dülmen,di er men,dwlmn,Дилмен,Дюльмен,Դյուլմեն,دولمن,迪爾門"
Frankenthal,49.53414,8.35357,47438,"Frankental,Frankental',Frankenthal,Frongedahl,frakntal,fu lan ken ta er,Франкентал,Франкенталь,فراکنتال,弗兰肯塔尔"
Herzogenrath,50.86874,6.09317,47381,"Chertsonkenrat,Gercogenrat,Khercogenrat,Roa,hei er cuo gen la te,hrtswghnrat,hrzwgnras,Χέρτσογκενρατ,Герцогенрат,Херцогенрат,هرتسوغنرات,هرزوگنراس,黑尔措根拉特"
Lörrach,47.61497,7.66457,47002,"L'orrakh,Lerakh,Lerrakh,Ljorrakh,Loerrach,Lorrach,Lörrach,loerrach,lrakh,luo la he,lwrakh,lörrach,Лерах,Леррах,Льоррах,Лёррах,لراخ,لوراخ,罗拉赫"
Oberursel,50.20731,8.57747,46678,Oberursel
Albstadt,48.21644,9.02596,46664,"Al'bshtadt,Al'bshtat,Albshtat,Albstadt,a er bu si ta te,Албштат,Альбштадт,Альбштат,آلب‌اشتاد,阿尔布斯塔特"
Gotha,50.94823,10.70193,46615,"Gota,Gotha,ge da,ghwta,gota,gwta,gwth,Гота,Գոթա,גותה,غوتا,گوتا,ゴータ,哥達,고타"
Melle,52.20197,8.33826,46514,"Mele,Melle,Mellea,mei lei,mlh  alman,mylh,Меле,Мелле,مله، آلمان,ميله,梅勒"
Staaken,52.53661,13.15057,46369,"Berlin-Staaken,Staaken"
Alsdorf,50.87673,6.16399,46340,"Al'sdorf,Alsdorf,Elsdoerp,Elsdörp,a er si duo fu,alsdwrf,arusudorufu,Алсдорф,Альсдорф,آلسدورف,アルスドルフ,阿尔斯多夫"
Böblingen,48.68212,9.01171,46282,"B'oblingen,Beblingen,Bilbonium,Bjoblingen,Boblingen,Boeblingen,Byoblingen,Böblingen,beblingeni,beburingen,bo bu lin gen,bwblngn,bwblynghyn,bwblyngyn,Беблинген,Беблінген,Бьоблинген,Бёблинген,Բյոբլինգեն,بوبلنگن,بوبلينغين,بوبلینگین,ბებლინგენი,ベーブリンゲン,伯布林根"
Langenhorn,53.66667,10.01667,46272,
Gronau,52.21099,7.02238,46161,"Gronau,ge luo nao,ghrwnaw,grwnaw  nwrdrayn-wstfaln,Гронау,غروناو,گروناو، نوردراین-وستفالن,格羅瑙"
Rheda-Wiedenbrück,51.84967,8.30017,46123,"Red-Videnbrjuk,Reda-Videnbrik,Reda-Videnbrjuk,Reda-Videnbruko,Rheda-Wiedenbrueck,Rheda-Wiedenbrück,lei da-wei deng bu lu ke,rda-wydnbwrk,Ред-Виденбрюк,Реда-Виденбрик,Реда-Виденбрюк,Реда-Віденбрюк,ردا-ویدنبورک,რედა-ვიდენბრიუკი,雷达-维登布吕克"
Neustadt am Rübenberge,52.50462,9.45871,45942,"Neustadt,Neustadt am Rbge,Neustadt am Rubenberge,Neustadt am Ruebenberge,Neustadt am Rübenberge,Niestadt,Nojshhat am Rjubenberge,Nojshtadt-am-Rjubenberge,Nojshtat am Ribenberge,lu ben shan lu nuo yi shi ta te,nwyshtat am rwbnbrghh,Нойштадт-ам-Рюбенберге,Нойщат ам Рюбенберге,Нојштат ам Рибенберге,نويشتات آم روبنبرغه,نوی‌اشتات آم روبنبرگه,吕本山麓诺伊施塔特"
Kamen,51.59231,7.6638,45927,"Kamen,Kameno,ka men,kamen,kamn,Камен,كامن,کامن,カーメン,卡門"
Gohlis,51.366,12.367,45924,Gohlis
Leonberg,48.8,9.01667,45711,"Leomontium,Leonberg,Leonberg / Baden-Wuerttemb.,Leonberg / Baden-Württemb.,Leonberq,Leonsberg,lai weng bei ge,leonbergi,liyonperku,lywnbrg,lywnbrgh,Леонберг,Լեոնբերգ,لئونبرگ,ليونبرغ,லியோன்பெர்கு,ლეონბერგი,莱翁贝格"
Hansestadt Stade,53.59407,9.47302,45634,"Gemeen Stood,Hansestadt Stade,Shhade,Shtade,Stade,ashtdth,shi ta de,shtadh,shutade,Штаде,Щаде,اشتدته,شتاده,シュターデ,施塔德"
Bünde,52.19837,8.58644,45376,"Binde,Bjunde,Buende,Buginithi,Bunde,Bünde,byunde,Бинде,Бюнде,ビュンデ"
Bruchsal,49.12426,8.59804,45364,"Bruchsal,Bruchsalia,Brukhzal,Brukhzal',Brusel,brwkhzal,bu lu sa er,buruffuzaru,Брухзал,Брухзаль,بروخزال,ブルッフザール,布鲁萨尔"
Meiderich,51.46667,6.76667,45297,"Meiderich,Meiderich/Beeck"
Wismar,53.89218,11.45563,45255,"Vismar,Vismara,Vismaras,Vismāra,Vizmar,Wismar,Wismer,Wysmar,Wyszomierz,vismari,vuisumaru,wei si ma,wysmar,wysmr,Визмар,Висмар,Вісмар,Վիսմար,ויסמר,ويسمار,ویسمار,ვისმარი,ヴィスマール,维斯马"
Amberg,49.44287,11.86267,44737,"Amberg,Ambergas,Ampernk,Anberg,amberg,ambrg,an bei ge,aymbrg,Άμπεργκ,Амберг,آمبرگ,ایمبرگ,安贝格"
Erkelenz,51.07947,6.31531,44650,"Ehrkelenc,Erkelenc,Erkelens,Erkelenz,ai er ke lun ci,arklnts,arklnz,Еркеленц,Эркеленц,إركلنتس,ارکلنز,埃尔克伦茨"
Homburg,49.32637,7.33867,44607,Homburg
Straubing,48.88126,12.57385,44580,"RBM,Shtraubing,Straubing,ashtrawbyng,shi te lao bin,Страубинг,Штраубинг,Штраўбінг,اشتراوبینگ,ስትራውቢንግ,施特劳宾"
Halle-Neustadt,51.47924,11.91605,44515,"Galle-Nojshtadt,Hale Noystadt,Halle Neustadt,Halle-Neustadt,halh nwyshtt,hare=noishutatto,Галле-Нойштадт,Հալե Նոյշտադտ,هاله نويشتت,ハレ＝ノイシュタット"
Brühl,50.82928,6.90499,44137,"Bril,Brjul',Bruehl,Brühl,brwl,Брил,Брюль,برول"
Fellbach,48.80912,9.27697,43935,"Felbakh,Fell'bakh,Foeuebach,Föübåch,fei er ba he,flbakh,Фелбах,Фелльбах,فلباخ,费尔巴赫"
Lehrte,52.37193,9.97919,43920,"Lehrte,Lerte,lai er te,lrth,Лерте,لرته,莱尔特"
Nordhausen,51.5018,10.7957,43912,"Nordhausen,Nordkhauzen,bei hao sen,noleuteuhaujen,norutohauzen,nwrdhawzn,Нордхаузен,נורדהאוזן,نوردهاوزن,ノルトハウゼン,北豪森,노르트하우젠"
Eisenach,50.9807,10.31522,43846,"Aizenach,Ajzenakh,EIB,Eisenach,Iesenack,Wartburgstadt,Ysenacum,ai sen na he,aijenaheu,aizenaha,ayznakh,Άιζεναχ,Айзенах,Ајзенах,آیزناخ,アイゼナハ,艾森纳赫,아이제나흐"
Hoyerswerda,51.43787,14.23549,43681,"Goersverda,Hojerice,Hojersverda,Hojeřice,Hoyerswerda,Hoyerswerda/Wojerecy,Hoyerwerda,Khojersverda,Wojerce,Wojerecy,Worjejce,Wórjejce,hoierusuvueruda,huo ye si wei da,hwyrsfyrda,khwyrzwrda,Гоєрсверда,Хойерсверда,Хојерсверда,خویرزوردا,هويرسفيردا,ホイエルスヴェルダ,霍耶斯韦达"
Freiberg,50.91089,13.33881,43670,"Frajberg,Frayberq,Freiberg,Freiberga,Freiburg,Friberga,fraybrg,fraybrgh,fu lai bei ge,furaiberuku,peulaibeleukeu,pryybrg,Фрайберг,Фрајберг,פרייברג,فرايبرغ,فرایبرگ,フライベルク,弗莱贝格,프라이베르크"
Pirmasens,49.20145,7.60529,43582,"Baermesens,Bärmesens,Pirmasens,Pirmazens,Pirminisensna,ZPI,pi er ma sen si,pileumajenseu,pirumazensu,pyrmaznz,Пирмазенс,پیرمازنز,ピルマゼンス,皮尔马森斯,피르마젠스"
Goslar,51.90425,10.42766,43560,"Goslaer,Goslar,Goslaria,Goslär,ZET,ge si la er,ghwslar,goslari,gosura,gslar,gwslʼr,Гослар,גוסלאר,غوسلار,گسلار,گوسلار قلعہ,გოსლარი,ゴスラー,戈斯拉尔"
Lankwitz,52.43623,13.3459,43558,"Berlin-Lankwitz,Lankvic,Ланквиц"
Filderstadt,48.65698,9.22049,43550,"Fil'dershtadt,Fildershhat,Fildershtat,fei er de er si ta te,fyldrashtat,Филдерштат,Филдерщат,Фильдерштадт,فیلدراشتات,菲尔德尔斯塔特"
Suhl,50.60911,10.69401,43509,"Suhl,ZSO,Zul,Zul',jul,su er,sul,zul',zuru,zwl,Зул,Зуль,زول,ซูล,ズール,苏尔,줄"
Weinheim,49.54887,8.66697,43325,"Vajngajm,Vajnkhajm,Weinheim,Woinem,faynhaym,vuainhaimu,waynhaym,wei yin hai mu,wyynhyym,Вайнгайм,Вайнхайм,Вајнхајм,ויינהיים,فاينهايم,واینهایم,ヴァインハイム,韦因海姆"
Rodgau,50.02627,8.88588,43315,"Rodgau,luo de gao,rdgaw,rotogau,rwdghaw,Родгау,ردگاو,رودغاو,ロートガウ,罗德高"
Bad Kreuznach,49.8414,7.86713,43213,"Bad Kreuznach,Bad Krojcnakh,Bad-Krojcnakh,Cruciniacum,Kreuznach,ba te ke luo yi ci na he,bad krwytsnakh,Бад Кройцнах,Бад Кројцнах,Бад-Кройцнах,باد كرويتسناخ,باد کرویتسناخ,バート・クロイツナハ,巴特克罗伊茨纳赫"
Ohligs,51.15,7.0,43063,
Monheim am Rhein,51.09162,6.89217,43038,"Monheim,Monheim am Rhein"
Gifhorn,52.47774,10.5511,43000,"Gifhorn,Gifkhorn,ghyfhwrn,gyfhwrn,ji fu huo en,jyfhwrn,Гифхорн,جيفهورن,غيفهورن,گیفهورن,吉夫霍恩"
Britz,52.44293,13.43388,42846,"Berlin-Britz,beulicheu,bu li ci,布里茨,브리츠"
Rottenburg,48.47629,8.93528,42721,
Rudow,52.42407,13.48529,42631,Berlin-Rudow
Freising,48.40351,11.74876,42570,"Fraizin'nk,Frajzing,Frayzing,Freising,Freizingas,Freysing,Frisinga,Fryzynga,frayzng,frayzngh,fryzng,fu lai xin,furaijingu,peulaijing,Φράιζινγκ,Фрайзинг,Фрайзінг,Фрајзинг,Ֆրայզինգ,فرايزنغ,فرایزنگ,فریزنگ,フライジング,弗赖辛,프라이징"
Weiden,49.67682,12.15613,42550,"Vajden,Weiden,Weyden,Вайден"
Kaufbeuren,47.88238,10.62192,42505,"Kaufbeiren,Kaufbeuren,Kaufbojren,kao fu bo yi lun,kaufuboiren,kawfbwyrn,Кауфбойрен,Кауфбојрен,کاوفبویرن,カウフボイレン,考夫博伊伦"
Nettetal,51.31667,6.28333,42417,"Netetal,Nettetal,Nettetal',nei te ta er,nttal,ntytal,Нететал,Неттеталь,نتتال,نتيتال,内特塔尔"
Kaarst,51.22929,6.61883,42112,"Kaarst,Kaasch,Kaasj,Karst,ka er si te,karst,Каарст,Карст,كارست,کارست,卡尔斯特"
Wunstorf,52.42377,9.43585,42080,"Vunstorf,Wunstorf,fwnstwrf,wen si tuo fu,wwnstwrf,Вунсторф,فونستورف,وونستورف,文斯托夫"
Gallus,50.10038,8.6295,42012,"Frankfurt-Gallus,Gallusviertel"
Eberswalde,52.83492,13.81951,41980,"Ebersval'de,Ebersvalde,Ebersvaldė,Eberswalde,Eberswalde-Finow,Ehbersval'de,Ehbersval'deh,Neustadium Eberswaldum,abrs waldh,ai bei er si wa er de,ebeleuseubalde,eberusuvuarude,Ēbersvalde,Еберсвалде,Еберсвальде,Эберсвальде,Эберсвальдэ,Էբերսվալդե,אברסוולדה,ابرس والده,エーベルスヴァルデ,埃贝尔斯瓦尔德,에베르스발데"
Bautzen,51.18035,14.43494,41972,"Baucen,Baucene,Bautcen,Bautzen,Budishin,Budisin,Budissa,Budišin,Budysin,Budysyn,Budyšin,Budyšyn,Budyšín,Budziszyn,bao cen,bautsuen,bawtsn,bawtzn,bea th sein,bwatzn,bwtsn,Баутцен,Бауцен,Будишин,באוצן,باؤتزن,باوتسن,بواتزن,بوتسن,بَوتسن,เบาท์เซิน,バウツェン,包岑"
Lemgo,52.02786,8.89901,41943,"Lemge,Lemgo,lai mu ge,lmghw,lmgw,remugo,Лемго,لمغو,لمگو,レムゴー,莱姆戈"
Coburg,50.25937,10.96384,41901,"Cobourg,Coburg,Coburgo,Coburgum,Cuburgh,Koburg,Koburq,Kreisfreie Stadt Coburg,ke bao,kho bur k,kobuleukeu,koburuku,kwbrg,kwbwrg,kwbwrgh,Кобург,Կոբուրգ,كوبورغ,کوبرگ,کوبورگ,โคบูร์ก,コーブルク,科堡,코부르크"
Bietigheim-Bissingen,48.94407,9.11755,41769,"Bietigheim-Bissingen,Bitigajm-Bissingen,Bitigkhajm-Bisingen,Bitigkhajm-Bissingen,bi di ge hai mu-bi xin gen,bitihhihaimu=bisshingen,bytyghaym-bysyngn,bytyghhaym-bysynghn,Битигхайм-Биссинген,Битигхајм-Бисинген,Бітігайм-Біссінген,بيتيغهايم-بيسينغن,بیتیگهایم-بیسینگن,ビーティッヒハイム＝ビッシンゲン,比蒂格海姆-比辛根"
Mülheim,50.96639,7.00384,41711,"Muelheim am Rhein,Mülheim am Rhein"
Landau in der Pfalz,49.19844,8.11692,41612,"Landau,Landau in der Pfalz,Ландау,לנדאו"
Heinsberg,51.06358,6.0998,41505,"Heinsberg,Heinsburg,Khajnsberg,hai yin si bei ge,haynzbrg,Хайнсберг,Хајнсберг,هاینزبرگ,海因斯贝格"
Lichtenberg,52.51395,13.49975,41359,"Berlin-Lichtenberg,Lichtenberg,lkhtnbrg,lyktnbrg,ליכטנברג,لختنبرگ"
Westend,52.51708,13.27636,41328,Berlin-Westend
Seevetal,53.4,9.96667,41266,"Seevedaal,Sevetalo,Zefetal,Zevetal',sai fei ta er,Зеветаль,Зефетал,סיווטאל,塞费塔尔"
Königswinter,50.67734,7.19245,41164,"K'onigsvinter,Kenigsvinter,Kjonigsvinter,Koenigsvinter,Koenigswinter,Konigsvintero,Konigswinter,Königsvinter,Königswinter,ke ni ge si wen te er,kwnyghsfyntr,kwnygzwyntr,Кенигсвинтер,Кенігсвінтер,Кьонигсвинтер,Кёнигсвинтер,كونيغسفينتر,کونیگزوینتر,克尼格斯温特尔"
Memmingen,47.98372,10.18527,41135,"FMM,Memingen,Memmingen,mei ming gen,memingen,mmyngn,Меминген,Мемминген,Меммінген,Мемінген,ممینگن,ሜሚንገን,メミンゲン,梅明根"
Völklingen,49.25162,6.85873,41132,"Fel'klingen,Felklingen,Fjol'klingen,Voelklingen,Volklingen,Völklingen,ferukuringen,fu er ke lin gen,fwlklynghn,fwlklyngn,plqlyngn,Фелклинген,Фельклінген,Фёльклинген,Фөльклинген,פלקלינגן,فولكلينغن,فولکلینگن,フェルクリンゲン,弗尔克林根"
Niendorf,53.61769,9.95032,40906,"Hamburg-Niendorf,Nindorf,ning duo fu,Ниндорф,宁多夫"
Borken,51.84382,6.85774,40876,"Borken,Buorken,bo er ken,brkn  nwrdrayn-wstfaln,bwrkn,Боркен,برکن، نوردراین-وستفالن,بوركن,博尔肯"
Buchholz in der Nordheide,53.33038,9.86596,40849,"Buchholz,Buchholz in der Nordheide,Bukhgol'c-in-der-Nordkhajde,Bukhkhol'c-in-der-Nordkhajde,Bukholc in der Nordkhajde,Gemeen Bookholt,bwkhhlts dr nwrdhaydh,bwkhhwlts an dr nwrdhaydh,nuo er deng di an bu he huo er ci,Бухгольц-ин-дер-Нордхайде,Бухолц ин дер Нордхајде,Буххольц-ин-дер-Нордхайде,بوخهلتس در نوردهایده,بوخهولتس إن در نوردهايده,诺尔登堤岸布赫霍尔茨"
Oranienburg,52.75577,13.24197,40793,"Aranienburg,Arausionis castrum,Oranienburg,Oraninburg,ao la ning bao,aranynbrg,awranynbwrgh,olanienbuleukeu,oranienburuku,Араніенбург,Ораниенбург,Оранинбург,Оранієнбурґ,Օրանիենբուրգ,אורניינבורג,أورانينبورغ,ارانینبرگ,オラニエンブルク,奥拉宁堡,오라니엔부르크"
Pinneberg,53.65887,9.79698,40577,"Pineberg,Pinebergas,Pinnbarg,Pinneberg,bynhbrgh,ping ne bei ge,pynbrg,Пинеберг,Пиннеберг,פינברג,بينهبرغ,پینبرگ,平讷贝格"
Südstadt,52.35967,9.7508,40557,
Germering,48.13392,11.3765,40511,"Geamaring,Germering,Germeringas,ge er mei lin ge,grmryng,Гермеринг,گرمرینگ,格尔梅林格"
Wilhelmstadt,52.52379,13.18916,40463,"Berlin-Wilhelmstadt,Wilhelmstadt"
Dreieich,50.01997,8.69611,40367,"Drajajkh,Dreieich,de lai ai xi,doraiaihi,Драйайх,Драјајх,درای‌آیش,ドライアイヒ,德赖艾希"
Pirna,50.95843,13.93702,40322,"Perno,Pirna,Pěrno,brna,byrna,pi er na,prna,pyrna,Пирна,برنا,بيرنا,پرنا,پیرنا,皮尔纳"
Aurich,53.46963,7.48239,40319,"Auerk,Auriacum,Aurich,Aurichas,Aurikh,Aurk,Auwerk,ao li xi,awrysh,Аурих,آوريش,آوریش,奥里希"
Barmbek-Nord,53.6052,10.03988,40261,
Nürtingen,48.62565,9.34203,40210,"Nirtingen,Njurtingen,Nuertingen,Nurtinga,Nyurtingen,Nürtingen,ni er ting gen,nwrtynghn,nwrtyngn,Ниртинген,Нюртинген,Нюртінген,Նյուրտինգեն,نورتينغن,نورتینگن,尼尔廷根"
